202312051655
baigai
x
yagura
wiper_drive,others,1528,9,3,6,win
shooter_h3_d,myself,1097,5,4,2,win
shooter_spla,others,1251,12,9,5,win
blaster_crash,others,1106,12,5,6,win
shooter_modelar_rg,others,1989,8,7,6,lose
wiper_drive,others,1106,7,1,4,lose
maneuver_spla_collabo,others,892,8,9,4,lose
blaster_long,others,1027,3,6,3,lose
a_x,a_y,a_sp,a_life,b_x,b_y,b_sp,b_life,y_x,y_y,y_sp,y_life,x_x,x_y,x_sp,x_life,u_x,u_y,u_sp,u_life,r_x,r_y,r_sp,r_life,d_x,d_y,d_sp,d_life,l_x,l_y,l_sp,l_life
943,292,3,1,1335,175,nan,1,1211,209,nan,1,1202,137,nan,1,987,391,nan,1,960,408,8,1,977,356,nan,1,978,369,nan,1
943,292,nan,1,1337,189,nan,1,1210,210,nan,1,1182,144,nan,1,1004,372,nan,1,968,401,0,1,nan,nan,nan,1,nan,nan,nan,1
942,291,nan,1,1337,203,nan,1,1209,211,nan,1,1166,152,nan,1,1028,340,nan,1,973,400,4,1,972,387,nan,1,1030,353,nan,1
942,291,31,1,1329,214,nan,1,1209,211,nan,1,1172,149,nan,1,1053,312,nan,1,979,412,47,1,978,397,nan,1,973,353,nan,1
941,288,3,1,1325,234,nan,1,1209,211,nan,1,1197,138,nan,1,1070,291,nan,1,984,424,nan,1,1009,313,nan,1,1010,325,nan,1
944,297,nan,1,1335,271,nan,1,1209,211,nan,1,1225,137,nan,1,1089,284,nan,1,1000,440,nan,1,1048,298,nan,1,1050,311,nan,1
948,311,nan,1,1358,293,nan,1,1209,211,nan,1,1268,122,nan,1,1037,433,nan,1,1038,447,nan,1,1038,433,nan,1,1077,308,nan,1
949,317,nan,1,1360,308,nan,1,1209,211,nan,1,1301,110,nan,1,1132,249,nan,1,1062,444,nan,1,1040,233,nan,1,1091,311,nan,1
950,350,nan,1,1352,317,nan,1,1209,211,nan,1,1310,117,nan,1,1152,235,nan,1,1069,441,7,1,1040,236,nan,1,1086,316,nan,1
949,365,nan,1,1341,324,nan,1,1209,211,nan,1,1310,134,nan,1,1169,227,nan,1,1067,438,nan,1,1040,241,nan,1,1067,320,nan,1
938,401,nan,1,1334,331,nan,1,1209,211,nan,1,1328,162,nan,1,1178,221,nan,1,1055,440,nan,1,1040,241,nan,1,1071,318,nan,1
914,406,nan,1,1333,332,nan,1,1209,211,nan,1,1360,181,nan,1,1184,210,0,1,1058,433,nan,1,1041,246,nan,1,1089,319,nan,1
893,399,4,1,1333,332,nan,1,nan,nan,nan,1,1397,184,nan,1,1195,204,0,1,1061,432,nan,1,1040,251,nan,1,1081,321,nan,1
882,391,4,1,1333,332,nan,1,nan,nan,nan,1,1413,182,nan,1,1209,202,nan,1,1052,433,nan,1,1037,256,nan,1,1073,332,nan,1
873,375,4,1,1333,332,nan,1,nan,nan,nan,1,1409,182,nan,1,1222,201,nan,1,1022,422,nan,1,1037,256,nan,1,1072,332,nan,1
876,358,4,1,1333,332,nan,1,nan,nan,nan,1,1403,182,nan,1,1234,199,nan,1,1001,386,nan,1,1039,266,nan,1,1074,326,nan,1
880,336,3,1,1333,332,nan,1,1209,211,nan,1,1399,178,nan,1,1252,190,nan,1,979,356,nan,1,1040,267,nan,1,1084,295,nan,1
883,319,3,1,1333,332,nan,1,1209,211,nan,1,1396,175,nan,1,1277,174,nan,1,941,359,nan,1,1037,262,nan,1,1106,255,nan,1
886,296,51,1,1333,332,nan,1,1209,211,nan,1,1393,168,nan,1,1304,158,nan,1,918,369,nan,1,1037,261,nan,1,1127,229,nan,1
nan,nan,nan,1,1333,332,nan,1,1209,211,nan,1,1390,154,nan,1,1318,144,nan,1,907,363,nan,1,907,349,nan,1,1146,216,nan,1
nan,nan,nan,1,1333,332,nan,1,1209,211,nan,1,1313,45,nan,1,1327,135,nan,1,903,357,nan,1,902,343,nan,1,1162,211,nan,1
nan,nan,nan,1,1333,332,nan,1,1209,211,nan,1,1313,45,nan,1,1330,126,nan,1,907,367,nan,1,907,352,nan,1,1173,213,nan,1
