202312051644
baigai
x
yagura
spinner_hydrant,others,1098,16,3,4,win
maneuver_spla_collabo,others,1302,5,1,5,win
hude_pablo,others,1222,13,3,5,win
shooter_h3_d,myself,878,6,1,3,win
shelter_spy_sorella,others,1104,7,5,5,lose
maneuver_kelvin,others,850,8,11,4,lose
shooter_bottle_foil,others,1081,7,5,4,lose
shooter_52,others,987,6,9,5,lose
a_x,a_y,a_sp,a_life,b_x,b_y,b_sp,b_life,y_x,y_y,y_sp,y_life,x_x,x_y,x_sp,x_life,u_x,u_y,u_sp,u_life,r_x,r_y,r_sp,r_life,d_x,d_y,d_sp,d_life,l_x,l_y,l_sp,l_life
1452,369,nan,1,1361,146,1,1,nan,nan,nan,1,1743,113,nan,1,1047,193,nan,1,1147,146,nan,1,1146,132,nan,1,nan,nan,nan,1
1456,374,nan,1,1372,144,3,1,nan,nan,nan,1,1638,134,nan,1,1153,135,nan,1,1154,149,nan,1,1263,213,nan,1,nan,nan,nan,1
1454,404,nan,1,1393,158,5,1,1848,87,nan,1,1580,147,4,1,1257,195,nan,1,1154,147,nan,1,1258,195,nan,1,1259,208,nan,1
1456,438,nan,1,1404,191,nan,1,1700,109,nan,1,1550,156,nan,1,nan,nan,nan,1,1158,143,4,1,1258,169,nan,1,1259,182,nan,1
1465,458,nan,1,1413,214,nan,1,1611,122,nan,1,1505,169,nan,1,1156,130,nan,1,1157,144,4,1,1275,150,nan,1,1276,163,nan,1
1465,473,nan,1,1415,218,nan,1,1567,134,nan,1,1467,180,nan,1,1154,137,nan,1,1155,151,nan,1,1291,144,nan,1,1292,157,nan,1
1463,484,nan,1,1462,484,nan,1,1529,147,nan,1,1452,186,nan,1,1153,136,nan,1,1155,151,nan,1,1319,148,nan,1,nan,nan,nan,1
1448,510,nan,1,1448,510,4,1,1485,156,nan,1,1447,174,nan,1,nan,nan,nan,1,1143,142,nan,1,1338,151,nan,1,nan,nan,nan,1
1433,535,nan,1,1432,535,41,1,1467,146,nan,1,1451,161,nan,1,1196,220,nan,1,1117,112,nan,1,1351,149,nan,1,1040,263,nan,1
1418,548,nan,1,1417,548,4,1,nan,nan,nan,1,1463,160,nan,1,1210,218,nan,1,1083,102,nan,1,1355,148,nan,1,1040,263,nan,1
1402,555,nan,1,1402,555,43,1,nan,nan,nan,1,1474,157,nan,1,1225,212,nan,1,nan,nan,nan,1,1350,149,nan,1,1038,270,nan,1
1393,552,nan,1,1392,552,45,1,nan,nan,nan,1,1476,168,nan,1,1235,205,4,1,942,779,nan,1,1347,151,nan,1,1038,270,nan,1
1403,541,nan,1,1403,541,4,1,nan,nan,nan,1,1466,168,nan,1,1243,199,nan,1,939,724,4,1,1347,151,nan,1,1038,269,nan,1
1424,527,nan,1,1426,96,4,1,1434,136,nan,1,1462,170,nan,1,1250,189,nan,1,1048,120,4,1,1347,151,nan,1,1039,260,nan,1
1436,515,nan,1,1435,515,nan,1,1424,143,nan,1,1459,204,nan,1,1246,190,nan,1,nan,nan,nan,1,1347,151,nan,1,1045,251,nan,1
1454,503,nan,1,1426,97,nan,1,1421,152,nan,1,1460,219,nan,1,1234,194,nan,1,1057,135,nan,1,1347,151,nan,1,1060,258,nan,1
1465,493,nan,1,1464,493,3,1,1408,154,nan,1,1454,208,nan,1,1227,191,nan,1,nan,nan,nan,1,1347,151,nan,1,1065,261,nan,1
1466,479,nan,1,1354,107,3,1,1397,143,nan,1,1422,203,nan,1,1221,189,nan,1,nan,nan,nan,1,1347,151,nan,1,1053,250,nan,1
1453,447,nan,1,1317,118,nan,1,1384,135,nan,1,1398,202,nan,1,1209,194,nan,1,1094,176,nan,1,1093,162,nan,1,1054,246,nan,1
1452,409,nan,1,1290,124,5,1,1368,131,nan,1,1378,208,nan,1,1198,197,nan,1,1091,177,nan,1,1090,163,nan,1,nan,nan,nan,1
1447,369,nan,1,1447,369,5,1,1357,126,nan,1,1371,211,nan,1,1192,190,nan,1,nan,nan,nan,1,nan,nan,nan,1,nan,nan,nan,1
1422,341,nan,1,1262,131,nan,1,nan,nan,nan,1,1366,213,nan,1,1191,188,nan,1,1093,180,nan,1,1347,151,nan,1,1193,201,nan,1
1399,349,nan,1,1239,137,nan,1,1347,182,nan,1,1313,45,nan,1,1185,193,nan,1,1100,175,nan,1,1099,162,nan,1,nan,nan,nan,1
1384,356,nan,1,1231,137,nan,1,1355,197,nan,1,1313,45,nan,1,1183,189,nan,1,nan,nan,nan,1,1347,151,nan,1,nan,nan,nan,1
1372,351,nan,1,1208,138,nan,1,1357,208,nan,1,1313,45,nan,1,1183,186,nan,1,nan,nan,nan,1,1347,151,nan,1,nan,nan,nan,1
1335,340,nan,1,1194,137,nan,1,1351,219,nan,1,1313,45,nan,1,1181,184,4,1,nan,nan,nan,1,1347,151,nan,1,1183,198,nan,1
1299,322,nan,1,1194,137,nan,1,1350,231,nan,1,1362,215,nan,1,1183,182,4,1,1090,217,nan,1,1347,151,nan,1,1185,195,nan,1
1303,299,nan,1,1194,137,nan,1,1347,244,nan,1,1387,191,nan,1,1183,184,4,1,nan,nan,nan,1,1347,151,nan,1,1090,243,nan,1
1307,294,nan,1,1194,137,nan,1,1337,251,nan,1,1396,173,nan,1,1182,188,4,1,nan,nan,nan,1,1347,151,nan,1,1090,236,nan,1
1289,282,nan,1,1194,137,5,1,1326,255,nan,1,1380,176,nan,1,1181,197,4,1,1098,209,nan,1,nan,nan,nan,1,1183,210,nan,1
1270,278,nan,1,1194,137,nan,1,1323,255,nan,1,1344,206,nan,1,1171,207,4,1,1097,205,nan,1,1347,151,nan,1,nan,nan,nan,1
1270,275,nan,1,1194,137,nan,1,1321,255,nan,1,1305,221,nan,1,1160,217,4,1,nan,nan,nan,1,1347,151,nan,1,1090,213,nan,1
